Account Number,Location,Date,Account Currency,Product Type,Financial Institution,Account Currency Balance,Account Currency Interest Amount,Entity,Interest Rate (%),Placement Date,Maturity Date,Tenor Days,Days to Maturity
915157449247,South Korea,2022-12-28,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,23,101
915157449247,South Korea,2022-12-29,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,24,100
915157449247,South Korea,2022-12-30,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,25,99
915157449247,South Korea,2022-12-31,GBP,Term Deposit,Bank of 8,2418000,0,Lesch - Carter,8.17,2022-12-05,2023-04-08,26,98
537845713013,India,2022-10-24,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,0,48
537845713013,India,2022-10-25,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,1,47
537845713013,India,2022-10-26,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,2,46
537845713013,India,2022-10-27,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,3,45
537845713013,India,2022-10-28,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,4,44
537845713013,India,2022-10-29,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,5,43
537845713013,India,2022-10-30,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,6,42
537845713013,India,2022-10-31,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,7,41
537845713013,India,2022-11-01,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,8,40
537845713013,India,2022-11-02,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,9,39
537845713013,India,2022-11-03,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,10,38
537845713013,India,2022-11-04,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,11,37
537845713013,India,2022-11-05,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,12,36
537845713013,India,2022-11-06,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,13,35
537845713013,India,2022-11-07,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,14,34
537845713013,India,2022-11-08,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,15,33
537845713013,India,2022-11-09,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,16,32
537845713013,India,2022-11-10,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,17,31
537845713013,India,2022-11-11,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,18,30
537845713013,India,2022-11-12,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,19,29
537845713013,India,2022-11-13,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,20,28
537845713013,India,2022-11-14,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,21,27
537845713013,India,2022-11-15,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,22,26
537845713013,India,2022-11-16,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,23,25
537845713013,India,2022-11-17,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,24,24
537845713013,India,2022-11-18,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,25,23
537845713013,India,2022-11-19,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,26,22
537845713013,India,2022-11-20,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,27,21
537845713013,India,2022-11-21,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,28,20
537845713013,India,2022-11-22,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,29,19
537845713013,India,2022-11-23,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,30,18
537845713013,India,2022-11-24,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,31,17
537845713013,India,2022-11-25,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,32,16
537845713013,India,2022-11-26,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,33,15
537845713013,India,2022-11-27,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,34,14
537845713013,India,2022-11-28,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,35,13
537845713013,India,2022-11-29,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,36,12
537845713013,India,2022-11-30,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,37,11
537845713013,India,2022-12-01,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,38,10
537845713013,India,2022-12-02,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,39,9
537845713013,India,2022-12-03,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,40,8
537845713013,India,2022-12-04,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,41,7
537845713013,India,2022-12-05,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,42,6
537845713013,India,2022-12-06,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,43,5
537845713013,India,2022-12-07,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,44,4
537845713013,India,2022-12-08,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,45,3
537845713013,India,2022-12-09,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,46,2
537845713013,India,2022-12-10,EUR,Term Deposit,Bank of 3,7550000,0,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,47,1
537845713013,India,2022-12-11,EUR,Term Deposit,Bank of 3,0,27403.39726027397,Marquardt - Runolfsdottir,2.76,2022-10-24,2022-12-11,48,0
303173835167,India,2022-09-28,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,0,58
303173835167,India,2022-09-29,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,1,57
303173835167,India,2022-09-30,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,2,56
303173835167,India,2022-10-01,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,3,55
303173835167,India,2022-10-02,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,4,54
303173835167,India,2022-10-03,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,5,53
303173835167,India,2022-10-04,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,6,52
303173835167,India,2022-10-05,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,7,51
303173835167,India,2022-10-06,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,8,50
303173835167,India,2022-10-07,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,9,49
303173835167,India,2022-10-08,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,10,48
303173835167,India,2022-10-09,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,11,47
303173835167,India,2022-10-10,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,12,46
303173835167,India,2022-10-11,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,13,45
303173835167,India,2022-10-12,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,14,44
303173835167,India,2022-10-13,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,15,43
303173835167,India,2022-10-14,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,16,42
303173835167,India,2022-10-15,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,17,41
303173835167,India,2022-10-16,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,18,40
303173835167,India,2022-10-17,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,19,39
303173835167,India,2022-10-18,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,20,38
303173835167,India,2022-10-19,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,21,37
303173835167,India,2022-10-20,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,22,36
303173835167,India,2022-10-21,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,23,35
303173835167,India,2022-10-22,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,24,34
303173835167,India,2022-10-23,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,25,33
303173835167,India,2022-10-24,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,26,32
303173835167,India,2022-10-25,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,27,31
303173835167,India,2022-10-26,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,28,30
303173835167,India,2022-10-27,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,29,29
303173835167,India,2022-10-28,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,30,28
303173835167,India,2022-10-29,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,31,27
303173835167,India,2022-10-30,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,32,26
303173835167,India,2022-10-31,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,33,25
303173835167,India,2022-11-01,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,34,24
303173835167,India,2022-11-02,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,35,23
303173835167,India,2022-11-03,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,36,22
303173835167,India,2022-11-04,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,37,21
303173835167,India,2022-11-05,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,38,20
303173835167,India,2022-11-06,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,39,19
303173835167,India,2022-11-07,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,40,18
303173835167,India,2022-11-08,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,41,17
303173835167,India,2022-11-09,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,42,16
303173835167,India,2022-11-10,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,43,15
303173835167,India,2022-11-11,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,44,14
303173835167,India,2022-11-12,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,45,13
303173835167,India,2022-11-13,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,46,12
303173835167,India,2022-11-14,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,47,11
303173835167,India,2022-11-15,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,48,10
303173835167,India,2022-11-16,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,49,9
303173835167,India,2022-11-17,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,50,8
303173835167,India,2022-11-18,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,51,7
303173835167,India,2022-11-19,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,52,6
303173835167,India,2022-11-20,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,53,5
303173835167,India,2022-11-21,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,54,4
303173835167,India,2022-11-22,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,55,3
303173835167,India,2022-11-23,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,56,2
303173835167,India,2022-11-24,GBP,Term Deposit,Bank of 8,2541000,0,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,57,1
303173835167,India,2022-11-25,GBP,Term Deposit,Bank of 8,0,4037.7534246575347,Marquardt - Runolfsdottir,1,2022-09-28,2022-11-25,58,0
